id_alloy;site_alloys;alloy;Si;Fe;Cu;Mn;Mg;Cr;Zn;Ti;;
1;PAR;AA1050;0,25;0,4;0,05;0,05;0,05;0,05;0,05;0,03;;
2;PAR;AA1100;0,95;0,95;0,1;0,05;0,05;0,05;0,1;0,05;;
3;GEN;AA2024;0,5;0,5;4;0,5;1,3;0,1;0,25;0,15;;
4;GEN;AA3003;0,6;0,7;0,1;1;0,1;0,1;0,1;0,05;;
5;NYC;AA5052;0,25;0,4;0,1;0,1;2,4;0,2;0,1;0,15;;
6;NYC;AA5083;0,4;0,4;0,1;0,5;4,5;0,1;0,25;0,15;;
7;PAR;AA6061;0,5;0,7;0,2;0,15;1;0,2;0,25;0,15;;
8;PAR;AA6063;0,3;0,35;0,1;0,1;0,6;0,1;0,1;0,1;;
9;PAR;AA7075;0,4;0,5;1,5;0,3;2,3;0,2;6;0,2;;
10;PAR;AA8011;0,6;0,7;0,1;0,2;0,05;0,05;0,1;0,08;;
11;PAR;AA3004;0,3;0,7;0,25;1,3;1;0,05;0,25;0,05;;
12;GEN;AA3105;0,6;0,7;0,3;0,5;0,3;0,2;0,4;0,1;;
13;GEN;AA5005;0,3;0,7;0,2;0,2;0,6;0,1;0,25;0,1;;
14;GEN;AA5050;0,25;0,4;0,1;0,1;1,5;0,1;0,1;0,1;;
15;GEN;AA5454;0,25;0,4;0,1;0,7;2,5;0,1;0,25;0,2;;
16;GEN;AA5754;0,4;0,4;0,1;0,5;3;0,3;0,2;0,15;;
17;NYC;AA6060;0,4;0,2;0,1;0,1;0,5;0,05;0,15;0,1;;
18;NYC;AA6066;0,5;0,7;1;0,9;1;0,1;0,25;0,15;;
19;NYC;AA7072;0,1;0,2;0,1;0,03;0,03;0,03;0,07;0,03;;
20;NYC;AA7178;0,3;0,5;2;0,3;2,7;0,2;7;0,2;;
21;NYC;AA5454;0,26;0,45;0,12;0,75;2,5;0,1;0,25;0,2;;
22;NYC;AA5754;0,45;0,45;0,12;0,6;3,1;0,3;0,2;0,15;;
23;GEN;AA6060;0,45;0,22;0,11;0,11;0,5;0,05;0,15;0,1;;
24;GEN;AA6066;0,6;0,75;1,2;0,9;1;0,1;0,25;0,15;;
