id_scrap;scrap_name;Si;Fe;Cu;Mn;Mg;Cr;Zn;Ti;shape;scrap_purchasing_cost_per_t;transportation_cost_per_t;currency
1;scrap01;0,00275;0,00425;0,00075;0,00075;0,00075;0,00075;0,00075;0,00055;swarf;1920;50;EUR
2;scrap02;0,00975;0,00975;0,00125;0,00075;0,00075;0,00075;0,00125;0,00075;swarf;1920;0;USD
3;scrap03;0,00525;0,00525;0,04025;0,00525;0,01325;0,00125;0,00275;0,00175;offcut;2160;0;EUR
4;scrap04;0,00625;0,00725;0,00125;0,01025;0,00125;0,00125;0,00125;0,00075;offcut;2640;0;EUR
5;scrap05;0,00275;0,00425;0,00125;0,00125;0,02425;0,00225;0,00125;0,00175;swarf;1920;0;USD
6;scrap06;0,00425;0,00425;0,00125;0,00525;0,04525;0,00125;0,00275;0,00175;offcut;2640;0;EUR
7;scrap07;0,00525;0,00725;0,00225;0,00175;0,01025;0,00225;0,00275;0,00175;swarf;1920;0;EUR
8;scrap08;0,00325;0,00375;0,00125;0,00125;0,00625;0,00125;0,00125;0,00125;offcut;2640;0;EUR
9;scrap09;0,00425;0,00525;0,01525;0,00325;0,02325;0,00225;0,06025;0,00225;swarf;1920;0;EUR
10;scrap10;0,00625;0,00725;0,00125;0,00225;0,00075;0,00075;0,00125;0,00105;offcut;2160;0;EUR
11;scrap11;0,00325;0,00725;0,00275;0,01325;0,01025;0,00075;0,00275;0,00075;swarf;1920;70;EUR
12;scrap12;0,00625;0,00725;0,00325;0,00525;0,00325;0,00225;0,00425;0,00125;offcut;2160;0;EUR
13;scrap13;0,00325;0,00725;0,00225;0,00225;0,00625;0,00125;0,00275;0,00125;offcut;2640;0;EUR
14;scrap14;0,00275;0,00425;0,00125;0,00125;0,01525;0,00125;0,00125;0,00125;offcut;2160;0;EUR
15;scrap15;0,00275;0,00425;0,00125;0,00725;0,02525;0,00125;0,00275;0,00225;swarf;1920;0;CHF
16;scrap16;0,00425;0,00425;0,00125;0,00525;0,03025;0,00325;0,00225;0,00175;offcut;2160;0;EUR
17;scrap17;0,00425;0,00225;0,00125;0,00125;0,00525;0,00075;0,00175;0,00125;offcut;2640;0;EUR
18;scrap18;0,00525;0,00725;0,01025;0,00925;0,01025;0,00125;0,00275;0,00175;offcut;2160;50;EUR
19;scrap19;0,00125;0,00225;0,00125;0,00055;0,00055;0,00055;0,00095;0,00055;swarf;1920;0;EUR
20;scrap20;0,00325;0,00525;0,02025;0,00325;0,02725;0,00225;0,07025;0,00225;offcut;2160;0;EUR
21;scrap21;0,00285;0,00475;0,00145;0,00775;0,02525;0,00125;0,00275;0,00225;offcut;2640;0;EUR
22;scrap22;0,00475;0,00475;0,00145;0,00625;0,03125;0,00325;0,00225;0,00175;offcut;2160;80;EUR
23;scrap23;0,00475;0,00245;0,00135;0,00135;0,00525;0,00075;0,00175;0,00125;swarf;1920;0;EUR
24;scrap24;0,00625;0,00775;0,01225;0,00925;0,01025;0,00125;0,00275;0,00175;swarf;1920;0;EUR
